ID,Software,Link,Evaluator1,Evaluator2,Evaluator3,Final Decision
C1,Apache httpd,https://stackoverflow.com/questions/119336,Include,Exclude,Include,Include
C2,Apache httpd,https://stackoverflow.com/questions/60213/why-wont-my-local-apache-open-html-pages,Exclude,Exclude,,Exclude
C3,Apache httpd,https://stackoverflow.com/questions/40133/getting-apache-to-modify-static-webpages-on-the-fly,Exclude,Exclude,,Exclude
C4,Apache httpd,https://stackoverflow.com/questions/91086/why-easyphp-stop-all-apache-processes-on-severals-pc,Exclude,Exclude,,Exclude
C5,Apache httpd,https://stackoverflow.com/questions/105754/best-practices-for-configuring-apache-tomcat,Exclude,Exclude,,Exclude
C6,Apache httpd,https://stackoverflow.com/questions/133136/what-is-the-best-way-to-configure-iplanet-sun-one-be-the-http-https-front-end-to,Exclude,Exclude,,Exclude
C7,Apache httpd,https://stackoverflow.com/questions/148838/how-do-i-configure-apache-2-2-for-ruby-on-rails-in-windows,Exclude,Exclude,,Exclude
C8,Apache httpd,https://stackoverflow.com/questions/163603/apache-sockets-not-closing,Exclude,Exclude,,Exclude
C9,Apache httpd,https://stackoverflow.com/questions/198564/how-to-configure-apache-to-work-as-proxy-load-balancer-for-j2ee-server,Exclude,Exclude,,Exclude
C10,Apache httpd,https://stackoverflow.com/questions/213483/a-good-multithreaded-python-webserver,Exclude,Exclude,,Exclude
C11,Apache httpd,https://stackoverflow.com/questions/216092/reloading-a-fastcgi-app,Exclude,Exclude,,Exclude
C12,Apache httpd,https://stackoverflow.com/questions/223901/how-do-you-configure-apache-on-windows-for-ssl,Exclude,Exclude,,Exclude
C13,Apache httpd,https://stackoverflow.com/questions/243071/websphere-portal-v-5-1-and-ajp,Exclude,Exclude,,Exclude
C14,Apache httpd,https://stackoverflow.com/questions/264454/configure-webserver80-to-direct-a-domain-name-request-to-a-different-running-we,Exclude,Exclude,,Exclude
C15,Apache httpd,https://stackoverflow.com/questions/274638/config-vars-mk-missing-in-default-xampp-linux-installation,Exclude,Exclude,,Exclude
C16,Apache httpd,https://stackoverflow.com/questions/296632/apache-access-control,Exclude,Exclude,,Exclude
C17,Apache httpd,https://stackoverflow.com/questions/302679/running-a-django-site-under-mod-wsgi,Exclude,Exclude,,Exclude
C18,Apache httpd,https://stackoverflow.com/questions/335433/how-to-timestamp-request-logs-with-millisecond-accuracy-in-apache-2-0,Exclude,Exclude,,Exclude
C19,Apache httpd,https://stackoverflow.com/questions/364429/how-do-i-generate-an-ssl-certificate-with-microsoft-certificate-services-and-the,Exclude,Exclude,,Exclude
C20,Apache httpd,https://stackoverflow.com/questions/374571/apache-web-server-redirect-post-request,Exclude,Exclude,,Exclude
C21,Apache httpd,http://serverfault.com/questions/89399/https-timeout-while-http-works,Include,Include,,Include
C22,Apache httpd,https://stackoverflow.com/questions/1055045,Include,Include,,Include
C23,Apache httpd,https://serverfault.com/questions/18789/ssl-error-handshake-failure-alert-with-commercial-ca-based-client-certificate,Include,Include,,Include
C24,Apache httpd,https://serverfault.com/questions/22869/have-i-messed-up-buying-the-wrong-ssl-certificate-for-my-domain,Include,Include,,Include
C25,Apache httpd,http://serverfault.com/questions/76222/apache-not-letting-me-into-a-folder,Include,Include,,Include
C26,Apache httpd,https://serverfault.com/questions/22369/what-should-the-django-settings-module-be-set-to-in-apache-when-deploying-a-djan,Include,Include,,Include
C27,Apache httpd,https://serverfault.com/questions/98055/django-could-not-import-settings-settings-py-error,Include,Include,,Include
C28,Apache httpd,https://serverfault.com/questions/70243/mod-rewrite-cakephp-routing-functionality-forbidden-after-snow-leopard-upgrade,Include,Include,,Include
C29,Apache httpd,https://serverfault.com/questions/46871/apache-configuration-for-drupal-multisite,Include,Include,,Include
C30,Apache httpd,https://stackoverflow.com/questions/419675/relocate-apaches-configuration-files,Exclude,Exclude,,Exclude
C31,Apache httpd,https://stackoverflow.com/questions/458214/apache-resolving-urls-before-looking-in-htaccess,Exclude,Exclude,,Exclude
C32,Apache httpd,https://stackoverflow.com/questions/512579/how-to-reduce-the-number-of-cert-validation-requests-ie-is-killing-me-slowly,Exclude,Exclude,,Exclude
C33,Apache httpd,https://stackoverflow.com/questions/545442/htaccess-file-causing-internal-server-error,Exclude,Exclude,,Exclude
C34,Apache httpd,https://stackoverflow.com/questions/577668/apache-requestheader-directive-in-htaccess,Exclude,Exclude,,Exclude
C35,Apache httpd,https://stackoverflow.com/questions/580032/apache2-authorize-users-against-a-location-using-basicauth-but-only-for-users,Exclude,Exclude,,Exclude
C36,Apache httpd,https://stackoverflow.com/questions/582156/is-apache-tomcat-built-on-apache-web-server-platform,Exclude,Exclude,,Exclude
C37,Apache httpd,https://stackoverflow.com/questions/582631/setting-up-django-with-mod-python-apache-on-suse-with-alias,Exclude,Exclude,,Exclude
C38,Apache httpd,https://stackoverflow.com/questions/583705/redirecting-urls-with-specific-get-parameters,Exclude,Exclude,,Exclude
C39,Apache httpd,https://stackoverflow.com/questions/596520/with-apache-httpd-how-do-i-configure-no-caching-for-a-given-useragent,Exclude,Exclude,,Exclude
C40,Apache httpd,https://stackoverflow.com/questions/622466/how-to-put-apache-website-to-503-temporary-down,Exclude,Exclude,,Exclude
C41,Apache httpd,https://stackoverflow.com/questions/646207/same-port-but-different-documentroots,Exclude,Exclude,,Exclude
C42,Apache httpd,https://stackoverflow.com/questions/683052/why-am-i-getting-an-apache-proxy-503-error,Exclude,Exclude,,Exclude
C43,Apache httpd,https://stackoverflow.com/questions/693098/how-can-i-setup-apache-to-serve-svn-with-this-particular-url-configuration,Exclude,Exclude,,Exclude
C44,Apache httpd,https://stackoverflow.com/questions/719925/how-to-prevent-hackers-from-exploiting-apache-sites-available-default-file,Exclude,Exclude,,Exclude
C45,Apache httpd,https://stackoverflow.com/questions/724599/setting-up-an-apache-proxy-with-authentication,Exclude,Exclude,,Exclude
C46,Apache httpd,https://stackoverflow.com/questions/758351/virtualhost-for-wildcard-subdomain-and-static-subdomain,Exclude,Exclude,,Exclude
C47,Apache httpd,https://stackoverflow.com/questions/766891/how-to-programmatically-adjust-the-disable-directive-in-the-mod-jk-load-balancer,Exclude,Exclude,,Exclude
C48,Apache httpd,https://stackoverflow.com/questions/785966/apache-2-2-ignoring-virtualdocumentroot-virtualhosts,Exclude,Exclude,,Exclude
C49,Apache httpd,https://stackoverflow.com/questions/799354/configure-apache-to-use-python-just-like-cgi-php,Exclude,Exclude,,Exclude
C50,Apache httpd,https://stackoverflow.com/questions/799649/apache-rewrite-rule-forces-download,Exclude,Exclude,,Exclude
C51,Apache httpd,https://stackoverflow.com/questions/803876/configure-apache-for-system-passwords,Exclude,Exclude,,Exclude
C52,Apache httpd,https://stackoverflow.com/questions/805907/get-apache-linux-user-from-php,Exclude,Exclude,,Exclude
C53,Apache httpd,https://stackoverflow.com/questions/813876/apache-shutting-down-unexpectedly,Exclude,Exclude,,Exclude
C54,Apache httpd,https://stackoverflow.com/questions/829953/how-can-i-get-around-this-invalid-classloader-hierarchy,Exclude,Exclude,,Exclude
C55,Apache httpd,https://stackoverflow.com/questions/834066/unwanted-mod-rewrite-behaviour,Exclude,Exclude,,Exclude
C56,Apache httpd,https://stackoverflow.com/questions/869092/how-to-enable-mod-rewrite-for-apache-2-2,Exclude,Exclude,,Exclude
C57,Apache httpd,https://stackoverflow.com/questions/886959/strange-css-apache-problem,Exclude,Exclude,,Exclude
C58,Apache httpd,https://stackoverflow.com/questions/888360/getting-apache-to-execute-command-on-every-page-view,Exclude,Exclude,,Exclude
C59,Apache httpd,https://stackoverflow.com/questions/901286/what-is-the-java-equivalent-to-webmin,Exclude,Exclude,,Exclude
C60,Apache httpd,https://stackoverflow.com/questions/913079/how-do-i-configure-apache-to-forward-some-urls-to-my-servlet-container-regardles,Exclude,Exclude,,Exclude
C61,Apache httpd,https://stackoverflow.com/questions/913632/apache-prefork-mod-wsgi-spawned-process-count-seemingly-past-configuration,Exclude,Exclude,,Exclude
C62,Apache httpd,https://stackoverflow.com/questions/931904/diacritics-problem-in-project-made-with-zend-framework,Exclude,Exclude,,Exclude
C63,Apache httpd,https://stackoverflow.com/questions/943000/flash-based-file-upload-swfupload-fails-with-apache-mod-wsgi,Exclude,Exclude,,Exclude
C64,Apache httpd,https://stackoverflow.com/questions/945047/htaccess-not-working-mod-rewrite,Exclude,Exclude,,Exclude
C65,Apache httpd,https://stackoverflow.com/questions/956536/set-up-a-specific-svn-repository,Exclude,Exclude,,Exclude
C66,Apache httpd,https://stackoverflow.com/questions/970953/testing-for-mysterious-load-errors-in-python-django,Exclude,Exclude,,Exclude
C67,Apache httpd,https://stackoverflow.com/questions/992326/rewriterule-for-mapping-x-domain-com-to-y-domain-com,Exclude,Exclude,,Exclude
C68,Apache httpd,https://stackoverflow.com/questions/996079/throttle-download-traffic-in-apache-for-all-users,Exclude,Exclude,,Exclude
C69,Apache httpd,https://stackoverflow.com/questions/1263610/mod-rewrite-fail-htaccess-or-server-config-issue,Exclude,Exclude,,Exclude
C70,Apache httpd,https://stackoverflow.com/questions/1464728/internal-server-error-500-in-simple-cgi-script,Exclude,Exclude,,Exclude
C71,Apache httpd,https://stackoverflow.com/questions/1617467/internal-server-error,Exclude,Exclude,,Exclude
C72,Apache httpd,https://stackoverflow.com/questions/406419/monit-daemon-apache-status-connection-failure,Exclude,Exclude,,Exclude
C73,Apache httpd,https://stackoverflow.com/questions/421254/sso-plus-ssl-and-shibboleth-what-options-for-sites-with-numerous-virtual-hosts,Exclude,Exclude,,Exclude
C74,Apache httpd,https://stackoverflow.com/questions/428416/setting-the-umask-of-the-apache-user,Exclude,Exclude,,Exclude
C75,Apache httpd,https://stackoverflow.com/questions/458757/wildcard-subdomains-in-iis7-is-it-possible-to-make-them-like-it-is-in-apache,Exclude,Exclude,,Exclude
C76,Apache httpd,https://stackoverflow.com/questions/477986/stdout-when-running-django-as-fastcgi,Exclude,Exclude,,Exclude
C77,Apache httpd,https://stackoverflow.com/questions/479658/how-can-i-get-apache-http-server-2-2-and-iis-5-1-to-both-work-on-my-localhost,Exclude,Exclude,,Exclude
C78,Apache httpd,https://stackoverflow.com/questions/499068/clean-url-redirect-loop,Exclude,Exclude,,Exclude
C79,Apache httpd,https://stackoverflow.com/questions/502524/code-highlighting-for-subversion-apache-server,Exclude,Exclude,,Exclude
