ID,A,B
A1,Exclude,Exclude
A2,Exclude,Exclude
A3,Exclude,Exclude
A4,Include,Include
A5,Exclude,Exclude
A6,Exclude,Exclude
A7,Exclude,Exclude
A8,Exclude,Exclude
A9,Exclude,Exclude
A10,Exclude,Exclude
A11,Exclude,Exclude
A12,Include,Include
A13,Include,Include
A14,Include,Include
A15,Exclude,Exclude
A16,Include,Exclude
A17,Exclude,Exclude
A18,Exclude,Exclude
A19,Exclude,Exclude
A20,Exclude,Exclude
A21,Exclude,Exclude
A22,Exclude,Exclude
A23,Exclude,Exclude
A24,Include,Include
A25,Exclude,Exclude
A26,Exclude,Exclude
A27,Exclude,Exclude
A28,Exclude,Exclude
A29,Exclude,Exclude
A30,Exclude,Exclude
A31,Exclude,Exclude
A32,Exclude,Exclude
A33,Exclude,Exclude
A34,Include,Include
A35,Exclude,Exclude
A36,Exclude,Exclude
A37,Exclude,Exclude
A38,Exclude,Exclude
A39,Exclude,Exclude
A40,Include,Exclude
A41,Exclude,Exclude
A42,Exclude,Exclude
A43,Exclude,Exclude
A44,Include,Include
A45,Include,Exclude
A46,Exclude,Exclude
A47,Include,Include
A48,Exclude,Exclude
A49,Include,Include
A50,Include,Include
A51,Exclude,Exclude
A52,Exclude,Exclude
A53,Exclude,Exclude
A54,Include,Include
A55,Include,Include
A56,Exclude,Exclude
A57,Include,Include
A58,Exclude,Exclude
A59,Exclude,Exclude
A60,Exclude,Exclude
A61,Exclude,Exclude
A62,Include,Exclude
A63,Exclude,Exclude
A64,Exclude,Exclude
A65,Exclude,Exclude
A66,Exclude,Exclude
A67,Exclude,Exclude
A68,Exclude,Exclude
A69,Include,Include
A70,Exclude,Exclude
A71,Exclude,Exclude
A72,Exclude,Exclude
A73,Exclude,Exclude
A74,Exclude,Exclude
A75,Exclude,Exclude
A76,Exclude,Exclude
A77,Exclude,Exclude
A78,Include,Include
A79,Exclude,Exclude
A80,Include,Include
A81,Exclude,Exclude
A82,Exclude,Exclude
A83,Exclude,Exclude
A84,Include,Include
A85,Exclude,Exclude
A86,Exclude,Exclude
A87,Exclude,Exclude
A88,Exclude,Exclude
A89,Exclude,Exclude
A90,Include,Include
A91,Exclude,Exclude
A92,Include,Include
A93,Exclude,Exclude
A94,Exclude,Exclude
A95,Exclude,Exclude
A96,Exclude,Exclude
A97,Exclude,Exclude
A98,Exclude,Exclude
A99,Exclude,Exclude
A100,Exclude,Exclude
A101,Exclude,Exclude
A102,Include,Include
A103,Include,Include
A104,Exclude,Exclude
A105,Exclude,Exclude
A106,Exclude,Exclude
A107,Exclude,Exclude
A108,Exclude,Exclude
A109,Exclude,Exclude
A110,Exclude,Exclude
A111,Exclude,Exclude
A112,Exclude,Exclude
