Title,Year,Acronym
Log-based Anomaly Detection Without Log Parsing,2021,ASE
SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,2021,ASE
Finding A Needle in a Haystack: Automated Mining of Silent Vulnerability Fixes,2021,ASE
Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings,2021,ASE
DeepCVA: Automated Commit-level Vulnerability Assessment with Deep Multi-task Learning,2021,ASE
Explainable AI for Software Engineering,2021,ASE
EditSum: A Retrieve-and-Edit Framework for Source Code Summarization,2021,ASE
Muskit: A Mutation Analysis Tool for Quantum Software Testing,2021,ASE
PyExplainer: Explaining the Predictions of Just-In-Time Defect Models,2021,ASE
PyNose: A Test Smell Detector For Python,2021,ASE
QDiff: Differential Testing of Quantum Software Stacks,2021,ASE
Bugs4Q: A Benchmark of Real Bugs for Quantum Programs,2021,ASE
Gas Estimation and Optimization for Smart Contracts on Ethereum,2021,ASE
An Empirical Study of Bugs in WebAssembly Compilers,2021,ASE
RULF: Rust Library Fuzzing via API Dependency Graph Traversal,2021,ASE
DeepMetis: Augmenting a Deep Learning Test Set to Increase its Mutation Score,2021,ASE
Targeting Requirements Violations of Autonomous Driving Systems by Dynamic Evolutionary Search,2021,ASE
Testing Your Question Answering Software via Asking Recursively,2021,ASE
Quito: a Coverage-Guided Test Generator for Quantum Programs,2021,ASE
Empowering Web Applications with WebAssembly: Are We There Yet?,2021,ASE
Improving Test Case Generation for REST APIs Through Hierarchical Clustering,2021,ASE
UI Test Migration Across Mobile Platforms,2021,ASE
Graph-based Incident Aggregation for Large-Scale Online Service Systems,2021,ASE
Deep GUI: Black-box GUI Input Generation with Deep Learning,2021,ASE
Assessing Robustness of ML-Based Program Analysis Tools using Metamorphic Program Transformations,2021,ASE
Characterizing Transaction-Reverting Statements in Ethereum Smart Contracts,2021,ASE
Systematic Testing of Autonomous Driving Systems Using Map Topology-Based Scenario Classification,2021,ASE
On the Real-World Effectiveness of Static Bug Detectors at Finding Null Pointer Exceptions,2021,ASE
Subtle Bugs Everywhere: Generating Documentation for Data Wrangling Code,2021,ASE
AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-scale Cloud Systems,2021,ASE
Learning Highly Recursive Input Grammars,2021,ASE
AST-Transformer: Encoding Abstract Syntax Trees Efficiently for Code Summarization,2021,ASE
Automated Verification of Go Programs via Bounded Model Checking,2021,ASE
Automating User Notice Generation for Smart Contract Functions,2021,ASE
Automated Repair of Size-Based Inaccessibility Issues in Mobile Applications,2021,ASE
Thinking Like a Developer? Comparing the Attention of Humans with Neural Models of Code,2021,ASE
Using Static Analysis to Address Microservice Architecture Reconstruction,2021,ASE
Towards Exploring the Limitations of Active Learning: An Empirical Study,2021,ASE
Reducing Bug Triaging Confusion by Learning from Mistakes with a Bug Tossing Knowledge Graph,2021,ASE
Towards Systematic and Dynamic Task Allocation for Collaborative Parallel Fuzzing,2021,ASE
Is Historical Data an Appropriate Benchmark for Reviewer Recommendation Systems? : A Case Study of the Gerrit Community,2021,ASE
Refactorings and Technical Debt in Docker Projects: An Empirical Study,2021,ASE
Unsupervised Labeling and Extraction of Phrase-based Concepts in Vulnerability Descriptions,2021,ASE
IFIZZ: Deep-State and Efficient Fault-Scenario Generation to Test IoT Firmware,2021,ASE
Automating Developer Chat Mining,2021,ASE
Did You Do Your Homework? Raising Awareness on Software Fairness and Discrimination,2021,ASE
Characterizing and Detecting Configuration Compatibility Issues in Android Apps,2021,ASE
